"eta","max_depth","min_child_weight","subsample","colsample_bytree","avg_brier","avg_accuracy","avg_upset_recall","beats_naive"
0.003,2,8,0.6,0.6,0.19,0.709,0.417,10
0.01,3,10,0.6,0.7,0.1904,0.714,0.42,10
0.003,3,10,0.7,0.7,0.1906,0.711,0.393,10
0.008,2,10,0.6,0.5,0.1907,0.704,0.403,10
0.008,2,10,0.6,0.6,0.1907,0.714,0.401,10
0.005,3,10,0.7,0.7,0.1907,0.704,0.373,10
0.01,2,10,0.6,0.6,0.1909,0.72,0.416,10
0.008,2,15,0.7,0.6,0.1909,0.715,0.38,10
0.003,2,8,0.6,0.7,0.1909,0.72,0.419,10
0.005,2,8,0.6,0.7,0.1909,0.709,0.398,10
0.005,2,8,0.6,0.6,0.191,0.704,0.404,10
0.008,3,10,0.6,0.5,0.1911,0.701,0.373,10
0.003,3,15,0.7,0.7,0.1911,0.707,0.381,10
0.005,2,15,0.7,0.6,0.1912,0.712,0.383,10
0.01,2,10,0.6,0.5,0.1913,0.706,0.398,10
0.003,3,15,0.7,0.6,0.1914,0.717,0.403,10
0.005,3,15,0.7,0.6,0.1914,0.712,0.411,10
0.008,3,10,0.6,0.7,0.1916,0.714,0.397,10
0.008,2,8,0.6,0.7,0.1917,0.714,0.403,10
0.005,3,15,0.7,0.7,0.1917,0.711,0.402,10
0.01,3,10,0.6,0.6,0.1918,0.72,0.429,10
0.003,2,15,0.7,0.6,0.1918,0.704,0.388,10
0.008,3,10,0.7,0.7,0.1918,0.712,0.39,10
0.008,3,8,0.5,0.7,0.1919,0.725,0.415,10
0.003,2,10,0.7,0.7,0.1919,0.722,0.4,10
0.005,3,10,0.6,0.7,0.192,0.714,0.402,10
0.005,2,10,0.7,0.7,0.1921,0.712,0.38,10
0.003,2,15,0.7,0.7,0.1921,0.691,0.346,10
0.005,2,15,0.7,0.7,0.1921,0.703,0.36,10
0.01,3,15,0.7,0.7,0.1921,0.711,0.393,10
0.01,2,8,0.6,0.7,0.1923,0.704,0.399,10
0.01,3,10,0.7,0.7,0.1923,0.704,0.38,10
0.01,2,15,0.7,0.7,0.1924,0.698,0.367,10
0.008,2,8,0.6,0.6,0.1925,0.707,0.398,10
0.005,3,8,0.5,0.7,0.1925,0.714,0.398,10
0.01,3,8,0.5,0.7,0.1925,0.712,0.414,10
0.005,3,10,0.6,0.6,0.1926,0.706,0.409,10
0.003,3,10,0.6,0.7,0.1927,0.709,0.39,10
0.008,2,15,0.7,0.7,0.193,0.698,0.375,10
0.008,3,15,0.7,0.6,0.1931,0.703,0.403,10
0.003,3,8,0.5,0.7,0.1931,0.712,0.393,10
