"hSeedTeam","lSeedTeam","hSeed","lSeed","CURRENT ROUND","hSeed_won","year","Pred_Prob","Pred_Win","Correct","Actual_Result"
"Michigan","Florida St.",3,9,8,1,2018,0.9029,1,1,"Favored Won"
"Villanova","Texas Tech",1,3,8,1,2018,0.9376,1,1,"Favored Won"
"Kansas","Duke",1,2,8,1,2018,0.59,1,1,"Favored Won"
"Michigan","Loyola Chicago",3,11,4,1,2018,0.9271,1,1,"Favored Won"
"Villanova","Kansas",1,1,4,1,2018,0.8075,1,1,"Favored Won"
"Villanova","Michigan",1,3,2,1,2018,0.6618,1,1,"Favored Won"
"Villanova","Mount St. Mary's",1,16,64,1,2017,0.9388,1,1,"Favored Won"
"Wisconsin","Virginia Tech",8,9,64,1,2017,0.7447,1,1,"Favored Won"
"Virginia","UNC Wilmington",5,12,64,1,2017,0.4205,0,0,"Favored Won"
"Florida","East Tennessee St.",4,13,64,1,2017,0.9621,1,1,"Favored Won"
"SMU","USC",6,11,64,0,2017,0.9129,1,0,"Upset"
"Baylor","New Mexico St.",3,14,64,1,2017,0.956,1,1,"Favored Won"
"South Carolina","Marquette",7,10,64,1,2017,0.4327,0,0,"Favored Won"
"Duke","Troy",2,15,64,1,2017,0.952,1,1,"Favored Won"
"Gonzaga","South Dakota St.",1,16,64,1,2017,0.9333,1,1,"Favored Won"
"Northwestern","Vanderbilt",8,9,64,1,2017,0.6109,1,1,"Favored Won"
"Notre Dame","Princeton",5,12,64,1,2017,0.9136,1,1,"Favored Won"
"West Virginia","Bucknell",4,13,64,1,2017,0.9572,1,1,"Favored Won"
"Maryland","Xavier",6,11,64,0,2017,0.1846,0,1,"Upset"
"Florida St.","Florida Gulf Coast",3,14,64,1,2017,0.9274,1,1,"Favored Won"
"Saint Mary's","VCU",7,10,64,1,2017,0.4804,0,0,"Favored Won"
"Arizona","North Dakota",2,15,64,1,2017,0.8751,1,1,"Favored Won"
"Kansas","UC Davis",1,16,64,1,2017,0.9451,1,1,"Favored Won"
"Miami FL","Michigan St.",8,9,64,0,2017,0.119,0,1,"Upset"
"Iowa St.","Nevada",5,12,64,1,2017,0.8617,1,1,"Favored Won"
"Purdue","Vermont",4,13,64,1,2017,0.9171,1,1,"Favored Won"
"Creighton","Rhode Island",6,11,64,0,2017,0.7535,1,0,"Upset"
"Oregon","Iona",3,14,64,1,2017,0.9426,1,1,"Favored Won"
"Michigan","Oklahoma St.",7,10,64,1,2017,0.7588,1,1,"Favored Won"
"Louisville","Jacksonville St.",2,15,64,1,2017,0.9427,1,1,"Favored Won"
"North Carolina","Texas Southern",1,16,64,1,2017,0.9492,1,1,"Favored Won"
"Arkansas","Seton Hall",8,9,64,1,2017,0.767,1,1,"Favored Won"
"Minnesota","Middle Tennessee",5,12,64,0,2017,0.155,0,1,"Upset"
"Butler","Winthrop",4,13,64,1,2017,0.9593,1,1,"Favored Won"
"Cincinnati","Kansas St.",6,11,64,1,2017,0.2057,0,0,"Favored Won"
"UCLA","Kent St.",3,14,64,1,2017,0.9425,1,1,"Favored Won"
"Dayton","Wichita St.",7,10,64,0,2017,0.6868,1,0,"Upset"
"Kentucky","Northern Kentucky",2,15,64,1,2017,0.9496,1,1,"Favored Won"
"Villanova","Wisconsin",1,8,32,0,2017,0.9147,1,0,"Upset"
"Florida","Virginia",4,5,32,1,2017,0.519,0,0,"Favored Won"
"Baylor","USC",3,11,32,1,2017,0.952,1,1,"Favored Won"
"Duke","South Carolina",2,7,32,0,2017,0.9472,1,0,"Upset"
"Gonzaga","Northwestern",1,8,32,1,2017,0.9251,1,1,"Favored Won"
"West Virginia","Notre Dame",4,5,32,1,2017,0.1911,0,0,"Favored Won"
"Florida St.","Xavier",3,11,32,0,2017,0.346,0,1,"Upset"
"Arizona","Saint Mary's",2,7,32,1,2017,0.5051,0,0,"Favored Won"
"Kansas","Michigan St.",1,9,32,1,2017,0.6031,1,1,"Favored Won"
"Purdue","Iowa St.",4,5,32,1,2017,0.3695,0,0,"Favored Won"
"Oregon","Rhode Island",3,11,32,1,2017,0.9011,1,1,"Favored Won"
"Louisville","Michigan",2,7,32,0,2017,0.0783,0,1,"Upset"
"North Carolina","Arkansas",1,8,32,1,2017,0.9359,1,1,"Favored Won"
"Butler","Middle Tennessee",4,12,32,1,2017,0.8242,1,1,"Favored Won"
"UCLA","Cincinnati",3,6,32,1,2017,0.8428,1,1,"Favored Won"
"Kentucky","Wichita St.",2,10,32,1,2017,0.881,1,1,"Favored Won"
"Florida","Wisconsin",4,8,16,1,2017,0.6058,1,1,"Favored Won"
"Baylor","South Carolina",3,7,16,0,2017,0.891,1,0,"Upset"
"Gonzaga","West Virginia",1,4,16,1,2017,0.8065,1,1,"Favored Won"
"Arizona","Xavier",2,11,16,0,2017,0.3306,0,1,"Upset"
"Kansas","Purdue",1,4,16,1,2017,0.8984,1,1,"Favored Won"
"Oregon","Michigan",3,7,16,1,2017,0.1279,0,0,"Favored Won"
"North Carolina","Butler",1,4,16,1,2017,0.7966,1,1,"Favored Won"
"Kentucky","UCLA",2,3,16,1,2017,0.4517,0,0,"Favored Won"
"Florida","South Carolina",4,7,8,0,2017,0.9427,1,0,"Upset"
"Gonzaga","Xavier",1,11,8,1,2017,0.7641,1,1,"Favored Won"
"Kansas","Oregon",1,3,8,0,2017,0.7584,1,0,"Upset"
"North Carolina","Kentucky",1,2,8,1,2017,0.7898,1,1,"Favored Won"
"Gonzaga","South Carolina",1,7,4,1,2017,0.916,1,1,"Favored Won"
"North Carolina","Oregon",1,3,4,1,2017,0.8685,1,1,"Favored Won"
"Gonzaga","North Carolina",1,1,2,0,2017,0.2171,0,1,"Upset"
"Kansas","Austin Peay",1,16,64,1,2016,0.907,1,1,"Favored Won"
